country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Cameroon,CMR,471,120.0,CAO,137,75,"There have been an estimated 137 fatalities recorded in Cameroon from 75 events in 6 conflict dyads (Cameroon: Ambazonia, Cameroon: Government, Ambazonia insurgents - Civilians, JAS - Civilians, IS - Civilians, Cameroon: Islamic State), since July 2025. The most recent conflict event was on 31 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Nigeria,NGA,475,566.0,NIG,1554,293,"There have been an estimated 1554 fatalities recorded in Nigeria from 293 events in 18 conflict dyads (Nigeria: Government, IS - Civilians, Nigeria: Islamic State, Agatu - Fulani, Fulani - Tiv, Nigeria: Biafra, Fulani - Mushere, Forces of Bello Turji  - Civilians, Black Axe - Eyie, Farmers (Nigeria) - Herders (Nigeria), Fulani - Ron-Kulere, Birom - Fulani, Forces of Barbaru - Civilians, IPOB - Civilians, JAS - Civilians, Black Axe - SVC, IS - JAS, Fulani - Idoma), since July 2025. The most recent conflict event was on 14 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Central African Republic,CAF,482,140.0,CEN,133,16,"There have been an estimated 133 fatalities recorded in Central African Republic from 16 events in 3 conflict dyads (Government of Russia (Soviet Union) - Civilians, Central African Republic: Government, AAKG - Civilians), since July 2025. The most recent conflict event was on 31 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Chad,TCD,483,148.0,CHA,33,1,"There have been an estimated 33 fatalities recorded in Chad from 1 events in the Bulala - Kreda conflict dyad, since July 2025. The most recent conflict event was on 04 November 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
"Congo, Democratic Republic of the",COD,490,180.0,DRC,2136,415,"There have been an estimated 2136 fatalities recorded in DR Congo (Zaire) from 415 events in 12 conflict dyads (URDPC - Civilians, VDP - Civilians, Government of DR Congo (Zaire) - Civilians, DR Congo (Zaire): Government, AFC - Civilians, IS - Civilians, AFC - VDP, Government of Rwanda - Civilians, Zaire self-defense group - Civilians, DR Congo (Zaire): Islamic State, Mobondo - Civilians, URDPC - Zaire self-defense group), since July 2025. The most recent conflict event was on 04 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Kenya,KEN,501,404.0,KEN,11,10,"There have been an estimated 11 fatalities recorded in Kenya from 10 events in 2 conflict dyads (Kenya: Northeastern Province and Coast, Dassanetch - Turkana), since July 2025. The most recent conflict event was on 25 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Tanzania,TZA,510,834.0,TAZ,1006,54,"There have been an estimated 1006 fatalities recorded in Tanzania from 54 events in the Government of Tanzania - Civilians conflict dyad, since July 2025. The most recent conflict event was on 27 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Burundi,BDI,516,108.0,BUI,15,12,"There have been an estimated 15 fatalities recorded in Burundi from 12 events in the Government of Burundi - Civilians conflict dyad, since July 2025. The most recent conflict event was on 09 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Somalia,SOM,520,706.0,SOM,1587,186,"There have been an estimated 1587 fatalities recorded in Somalia from 186 events in 4 conflict dyads (Somalia: Government, Puntland State of Somalia - IS, Somalia: Islamic State, Al-Shabaab - Civilians), since July 2025. The most recent conflict event was on 30 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Ethiopia,ETH,530,231.0,ETH,2795,398,"There have been an estimated 2795 fatalities recorded in Ethiopia from 398 events in 8 conflict dyads (Ethiopia: Oromiya, Ethiopia: Government/Amhara, Government of Ethiopia - Civilians, Fano - Civilians, Dassanetch - Turkana, AFNF - AFPO, Anuak - Nuer, OLA - Civilians), since July 2025. The most recent conflict event was on 29 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Angola,AGO,540,24.0,ANG,20,1,"There have been an estimated 20 fatalities recorded in Angola from 1 events in the Angola: Cabinda conflict dyad, since July 2025. The most recent conflict event was on 31 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Mozambique,MOZ,541,508.0,MZM,247,77,"There have been an estimated 247 fatalities recorded in Mozambique from 77 events in 3 conflict dyads (IS - Civilians, Mozambique: Islamic State, Government of Mozambique - Civilians), since July 2025. The most recent conflict event was on 28 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Sudan,SDN,625,729.0,SUD,64619,324,"There have been an estimated 64619 fatalities recorded in Sudan from 324 events in 5 conflict dyads (Sudan: Government, SFA - Civilians, Government of Sudan - Civilians, Government of Russia (Soviet Union) - Civilians, Beni Halba Baggara - Salamat Baggara), since July 2025. The most recent conflict event was on 29 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
South Sudan,SSD,626,728.0,SSD,175,23,"There have been an estimated 175 fatalities recorded in South Sudan from 23 events in 2 conflict dyads (South Sudan: Government, Gawaar Nuer - Lou Nuer), since July 2025. The most recent conflict event was on 29 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Iran,IRN,630,364.0,IRN,38,17,"There have been an estimated 38 fatalities recorded in Iran from 17 events in 3 conflict dyads (Iran: Government, Government of Afghanistan - Civilians, Iran - Israel, United States of America), since July 2025. The most recent conflict event was on 08 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Iraq,IRQ,645,368.0,IRQ,22,7,"There have been an estimated 22 fatalities recorded in Iraq from 7 events in 2 conflict dyads (Iraq: Government, IS - Civilians), since July 2025. The most recent conflict event was on 12 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Syria,SYR,652,760.0,SYR,152,78,"There have been an estimated 152 fatalities recorded in Syria from 78 events in 7 conflict dyads (IS - SDF, Government of Syria - Civilians, IS - Civilians, Syria: Islamic State, Israel - Syria, Syria: Government/Rojava Kurdistan, Saraya Ansar al-Sunna - Civilians), since July 2025. The most recent conflict event was on 30 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Lebanon,LBN,660,422.0,LEB,214,121,"There have been an estimated 214 fatalities recorded in Lebanon from 121 events in 2 conflict dyads (Israel: Southern Lebanon, Iran - Israel), since July 2025. The most recent conflict event was on 19 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Israel,ISR,666,376.0,ISR,4670,1022,"There have been an estimated 4670 fatalities recorded in Israel from 1022 events in 2 conflict dyads (Israel: Palestine, Government of Israel - Civilians), since July 2025. The most recent conflict event was on 08 July 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Yemen,YEM,678,887.0,YEM,518,159,"There have been an estimated 518 fatalities recorded in Yemen (North Yemen) from 159 events in 8 conflict dyads (Yemen (North Yemen): Government, Government of Yemen (North Yemen) - Civilians, AQAP - Forces of the Presidential Leadership Council, Israel - Yemen, AQAP - STC, Forces of the Presidential Leadership Council - STC, Yemen (North Yemen): South Yemen, HTA - STC), since July 2025. The most recent conflict event was on 30 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Qatar,QAT,694,634.0,QAT,6,1,"There have been an estimated 6 fatalities recorded in Qatar from 1 events in the Israel: Palestine conflict dyad, since July 2025. The most recent conflict event was on 09 September 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Afghanistan,AFG,700,4.0,AFG,242,40,"There have been an estimated 242 fatalities recorded in Afghanistan from 40 events in 6 conflict dyads (Government of Afghanistan - Civilians, Afghanistan: Islamic State, Afghanistan: Government, Pakistan: Government, Afghanistan - Pakistan, Government of Pakistan - Civilians), since July 2025. The most recent conflict event was on 28 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
India,IND,750,356.0,IND,163,68,"There have been an estimated 163 fatalities recorded in India from 68 events in 6 conflict dyads (India: Kashmir, India: Government, India - Pakistan, CPI-Maoist - Civilians, India: Western South East Asia, Kashmir insurgents - Civilians), since July 2025. The most recent conflict event was on 28 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Pakistan,PAK,770,586.0,PAK,1675,514,"There have been an estimated 1675 fatalities recorded in Pakistan from 514 events in 7 conflict dyads (Pakistan: Government, Pakistan: Balochistan, BRAS - Civilians, Government of Pakistan - Civilians, Pakistan: Islamic State, IS - Civilians, Afghanistan - Pakistan), since July 2025. The most recent conflict event was on 01 July 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Myanmar (Burma),MMR,775,104.0,MYA,994,314,"There have been an estimated 994 fatalities recorded in Myanmar (Burma) from 314 events in 6 conflict dyads (Myanmar (Burma): Government, Government of Myanmar (Burma) - Civilians, Myanmar (Burma): Kachin, Myanmar (Burma): Karen, Myanmar (Burma): Arakan, Myanmar (Burma): Karenni), since July 2025. The most recent conflict event was on 30 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Thailand,THA,800,764.0,THI,46,30,"There have been an estimated 46 fatalities recorded in Thailand from 30 events in 2 conflict dyads (Cambodia (Kampuchea) - Thailand, Thailand: Patani), since July 2025. The most recent conflict event was on 28 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Cambodia,KHM,811,116.0,CAM,128,8,"There have been an estimated 128 fatalities recorded in Cambodia (Kampuchea) from 8 events in the Cambodia (Kampuchea) - Thailand conflict dyad, since July 2025. The most recent conflict event was on 27 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Philippines,PHL,840,608.0,PHI,92,25,"There have been an estimated 92 fatalities recorded in Philippines from 25 events in the Philippines: Government conflict dyad, since July 2025. The most recent conflict event was on 30 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Indonesia,IDN,850,360.0,INS,48,21,"There have been an estimated 48 fatalities recorded in Indonesia from 21 events in the Indonesia: West Papua conflict dyad, since July 2025. The most recent conflict event was on 23 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Papua New Guinea,PNG,910,598.0,PNG,31,4,"There have been an estimated 31 fatalities recorded in Papua New Guinea from 4 events in the Yakuman tribe - Yangukim tribe conflict dyad, since July 2025. The most recent conflict event was on 14 November 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
